id;total_help_time;date_from;date_to;time_from;time_to;services;edge_trimming;mowing_time;mowing_equipment;lawn_time;lawn_equipment;rubbish_load;rubbish_load_type;other_description;other_hours;other_equipment;provide_type;provide_for
1;84889;2020-12-15T14:04:31;2020-12-15T14:53:47;mint green;calculate;International Bike Berkshire;true;Som Outdoors Health;EITHER;Hat multi-byte synthesizing;OURS;53231;VAN;SCSI;Barbados Dollar Cambridgeshire;EITHER;FAMILY;50075
2;4520;2020-12-15T10:31:56;2020-12-15T19:13:18;EXE Berksh;Pakistan R;International yellow;false;leading-edge Bhutan protocol;OURS;Sierra Leone Customer Internal;EITHER;7433;VAN;clear-thinking GB;budgetary management;OURS;SUPPORTED;52611
3;63808;2020-12-15T13:23:49;2020-12-15T07:19:00;transform ;sensor met;Borders;true;FTP mindshare;OURS;Indiana Dynamic;EITHER;52023;VAN;neural-net client-driven reintermediate;Serbia Home;OURS;FAMILY;76952
4;76407;2020-12-15T10:53:55;2020-12-15T09:49:20;Aruban Gui;envisionee;Falkland Islands Pound Oregon facilitate;false;intangible distributed;YOURS;Automated enterprise;EITHER;64200;VAN;client-server Moroccan Dirham Incredible Metal Hat;withdrawal Borders;EITHER;FAMILY;97366
5;92375;2020-12-15T13:54:40;2020-12-15T11:08:38;back up Re;Tasty Conc;Benin whiteboard;false;seamless indexing;EITHER;feed Salad Unbranded Wooden Bike;EITHER;34465;VAN;Automotive;Ohio;OURS;FAMILY;36347
6;33352;2020-12-15T01:33:57;2020-12-15T10:24:10;generating;Generic Av;Soft;true;Frozen Refined Frozen Sausages;OURS;Cotton;EITHER;23309;VAN;RAM Nepalese Rupee;national Investor capacitor;YOURS;SUPPORTED;29139
7;17190;2020-12-15T05:48:27;2020-12-15T07:03:05;Usability ;Berkshire ;Officer payment Chief;false;Operative;EITHER;Avon;OURS;14536;UTE;Industrial Directives compressing;PCI;YOURS;FAMILY;98962
8;58568;2020-12-15T22:01:46;2020-12-15T08:48:01;Tasty;Decentrali;SDD Gorgeous Wooden Ball;true;Wisconsin Security;OURS;Gorgeous Frozen Mouse;YOURS;77731;VAN;salmon connecting;clear-thinking Refined Steel Shoes Borders;YOURS;SUPPORTED;92774
9;44797;2020-12-15T14:32:33;2020-12-15T17:28:09;needs-base;transmitte;Metal transmitting PNG;true;interface Concrete;OURS;Polarised;OURS;11042;UTE;Checking Account Berkshire;Facilitator XML Vista;OURS;FAMILY;59958
10;56135;2020-12-15T09:44:48;2020-12-15T22:42:47;XSS;Licensed S;Unbranded Frozen Chips;false;Unbranded Music;YOURS;expedite;YOURS;62809;VAN;bandwidth Personal Loan Account Consultant;Principal enable;YOURS;FAMILY;57760
