id;name;karma_points;overview;rating;image_url;plan_expire;rule;free_months;other_verify;kc_25_paid;kc_75_paid;privacy_family;share_to_facebook;privacy_personal;add_to_calendar;remind_events;notify_facebook;distance_request;distance_unit;mail_request_friend;mail_request_friend_of_friend;mail_request
1;streamline;21868;Steel;ubiquitous;Outdoors Albania Corner;2020-12-15T02:20:15;../fake-data/blob/hipster.txt;Operative Wooden;41813;true;true;FRIENDS_OF_FRIENDS;false;PUBLIC;true;false;false;95349;KM;DAILY;DAILY;DAILY
2;solid state Configuration;87918;Electronics;Avon;Intelligent Unions connect;2020-12-15T22:51:53;../fake-data/blob/hipster.txt;Auto Loan Account;90567;true;true;PRIVATE;false;PRIVATE;false;false;false;17109;KM;DAILY;IMMEDIATELY;WEEKLY
3;partnerships Indiana;9286;Designer Buckinghamshire Lead;process improvement;California Self-enabling;2020-12-15T16:11:05;../fake-data/blob/hipster.txt;Checking Account XSS channels;99647;true;false;FRIENDS;true;FRIENDS_OF_FRIENDS;false;true;false;82755;KM;IMMEDIATELY;IMMEDIATELY;WEEKLY
4;Salad orchestrate infrastructures;62047;Sports compressing;SSL foreground;Credit Card Account Ferry Florida;2020-12-15T06:39:53;../fake-data/blob/hipster.txt;invoice;14168;false;false;PUBLIC;false;FRIENDS;true;true;false;71196;MILE;DAILY;IMMEDIATELY;WEEKLY
5;Towels connecting microchip;71694;XSS;Ecuador;Peru Bridge;2020-12-15T17:11:06;../fake-data/blob/hipster.txt;Auto Loan Account;94188;true;true;FRIENDS_OF_FRIENDS;true;GROUP;false;false;true;94320;MILE;DAILY;DAILY;DAILY
6;clicks-and-mortar asymmetric;93917;engineer Developer;bypass Bahraini Dinar;Cambridgeshire;2020-12-15T15:48:37;../fake-data/blob/hipster.txt;index revolutionize Sleek;66540;true;true;GROUP;true;PRIVATE;false;false;false;86739;MILE;IMMEDIATELY;WEEKLY;IMMEDIATELY
7;Arizona;31894;Investor;Buckinghamshire;Strategist USB;2020-12-15T00:26:27;../fake-data/blob/hipster.txt;black;27046;true;false;GROUP;false;FRIENDS;false;true;false;70146;KM;DAILY;DAILY;IMMEDIATELY
8;synthesizing;84997;SCSI;Chicken;Borders Internal;2020-12-15T03:00:01;../fake-data/blob/hipster.txt;deposit Towels Kentucky;24973;false;true;PRIVATE;true;FRIENDS;true;false;true;92543;KM;IMMEDIATELY;IMMEDIATELY;WEEKLY
9;synthesizing hard drive;83641;Bacon JSON North Dakota;open-source;Nakfa silver;2020-12-15T21:46:10;../fake-data/blob/hipster.txt;Architect whiteboard invoice;25512;false;true;PRIVATE;true;PUBLIC;false;false;false;68087;KM;IMMEDIATELY;IMMEDIATELY;WEEKLY
10;architect transition Utah;5049;Fresh;value-added Awesome Refined;JSON models application;2020-12-15T17:21:11;../fake-data/blob/hipster.txt;Ergonomic SDD;44756;false;true;FRIENDS_OF_FRIENDS;false;PUBLIC;true;false;false;29157;KM;IMMEDIATELY;WEEKLY;IMMEDIATELY
